epoch,num_nodes,num_active,overlay_energy,pow_energy,blocks_produced,cum_overlay_energy,cum_pow_energy,overlay_vs_pow_ratio,cum_overlay_vs_pow_ratio,overlay_vs_pow_ratio_smooth_5,overlay_vs_pow_ratio_smooth_10,overlay_vs_pow_ratio_smooth_20
49,100,5,1000.0,1000.0,1,230600.0,28000.0,1.0,8.235714285714286,2.65,5.05,7.971428571428572
50,100,5,1000.0,1000.0,1,231600.0,29000.0,1.0,7.9862068965517246,2.65,5.6000000000000005,7.971428571428572
51,100,30,6000.0,1000.0,1,237600.0,30000.0,6.0,7.92,5.65,5.942857142857143,8.614285714285714
52,100,29,0.0,0.0,0,237600.0,30000.0,,7.92,7.2,8.257142857142856,7.871428571428572
53,100,73,14600.0,1000.0,1,252200.0,31000.0,14.6,8.135483870967741,11.799999999999999,8.85,7.9692307692307685
54,100,32,0.0,0.0,0,252200.0,31000.0,,8.135483870967741,15.733333333333334,9.742857142857144,7.9692307692307685
55,100,74,14800.0,1000.0,1,267000.0,32000.0,14.8,8.34375,15.05,11.200000000000001,8.061538461538463
56,100,89,17800.0,1000.0,1,284800.0,33000.0,17.8,8.63030303030303,15.200000000000001,13.0,7.7
57,100,65,13000.0,1000.0,1,297800.0,34000.0,13.0,8.758823529411766,15.200000000000001,12.966666666666669,7.983333333333334
58,100,33,0.0,0.0,0,297800.0,34000.0,,8.758823529411766,14.200000000000003,12.966666666666669,7.56923076923077
59,100,57,0.0,0.0,0,297800.0,34000.0,,8.758823529411766,10.200000000000001,12.64,7.43076923076923
60,100,59,11800.0,1000.0,1,309600.0,35000.0,11.8,8.845714285714285,8.8,10.933333333333332,7.966666666666666
61,100,29,5800.0,1000.0,1,315400.0,36000.0,5.8,8.761111111111111,8.8,10.16,8.6
62,100,31,0.0,0.0,0,315400.0,36000.0,,8.761111111111111,6.666666666666667,7.6,8.709090909090909
63,100,100,0.0,0.0,0,315400.0,36000.0,,8.761111111111111,4.1,5.5200000000000005,9.133333333333333
64,100,12,2400.0,1000.0,1,317800.0,37000.0,2.4,8.58918918918919,3.6999999999999997,4.733333333333333,9.1
65,100,85,0.0,0.0,0,317800.0,37000.0,,8.58918918918919,3.3333333333333335,4.733333333333333,8.923076923076923
66,100,25,5000.0,1000.0,1,322800.0,38000.0,5.0,8.494736842105263,2.6999999999999997,3.3199999999999994,8.433333333333332
67,100,13,2600.0,1000.0,1,325400.0,39000.0,2.6,8.343589743589744,2.7999999999999994,3.6,8.1
68,100,4,800.0,1000.0,1,326200.0,40000.0,0.8,8.155,2.7999999999999994,5.3,8.566666666666666
69,100,19,0.0,0.0,0,326200.0,40000.0,,8.155,3.533333333333333,6.571428571428571,8.566666666666666
70,100,95,0.0,0.0,0,326200.0,40000.0,,8.155,7.266666666666667,7.2,8.566666666666666
71,100,36,7200.0,1000.0,1,333400.0,41000.0,7.2,8.13170731707317,11.733333333333334,7.2,8.272727272727273
72,100,69,13800.0,1000.0,1,347200.0,42000.0,13.8,8.266666666666667,10.5,8.457142857142857,8.52
73,100,71,14200.0,1000.0,1,361400.0,43000.0,14.2,8.404651162790698,10.5,10.742857142857144,8.52
74,100,34,6800.0,1000.0,1,368200.0,44000.0,6.8,8.368181818181819,12.149999999999999,12.4,8.52
75,100,100,0.0,0.0,0,368200.0,44000.0,,8.368181818181819,13.350000000000001,12.4,10.1
76,100,69,13800.0,1000.0,1,382000.0,45000.0,13.8,8.488888888888889,13.066666666666668,12.4,9.872727272727273
77,100,93,18600.0,1000.0,1,400600.0,46000.0,18.6,8.708695652173914,16.200000000000003,13.440000000000001,10.36
78,100,59,0.0,0.0,0,400600.0,46000.0,,8.708695652173914,16.200000000000003,13.350000000000001,11.222222222222221
79,100,5,0.0,0.0,0,400600.0,46000.0,,8.708695652173914,18.6,13.066666666666668,12.525
80,100,71,0.0,0.0,0,400600.0,46000.0,,8.708695652173914,,16.86666666666667,12.525
81,100,60,0.0,0.0,0,400600.0,46000.0,,8.708695652173914,,14.55,12.644444444444446
82,100,77,0.0,0.0,0,400600.0,46000.0,,8.708695652173914,18.2,14.799999999999999,13.325000000000001
83,100,72,0.0,0.0,0,400600.0,46000.0,,8.708695652173914,12.899999999999999,12.899999999999999,13.0
84,100,91,18200.0,1000.0,1,418800.0,47000.0,18.2,8.91063829787234,12.899999999999999,12.899999999999999,13.0
85,100,38,7600.0,1000.0,1,426400.0,48000.0,7.6,8.883333333333333,12.899999999999999,12.899999999999999,12.625
86,100,42,0.0,0.0,0,426400.0,48000.0,,8.883333333333333,12.899999999999999,13.133333333333333,11.844444444444445
87,100,30,0.0,0.0,0,426400.0,48000.0,,8.883333333333333,7.6,13.133333333333333,11.6
88,100,45,0.0,0.0,0,426400.0,48000.0,,8.883333333333333,13.6,12.649999999999999,11.675
89,100,62,0.0,0.0,0,426400.0,48000.0,,8.883333333333333,13.6,12.959999999999999,11.675
90,100,68,13600.0,1000.0,1,440000.0,49000.0,13.6,8.979591836734693,12.399999999999999,10.079999999999998,12.511111111111111
91,100,49,0.0,0.0,0,440000.0,49000.0,,8.979591836734693,13.0,9.68,12.511111111111111
92,100,56,11200.0,1000.0,1,451200.0,50000.0,11.2,9.024,10.7,9.68,12.16
93,100,71,14200.0,1000.0,1,465400.0,51000.0,14.2,9.125490196078431,8.7,11.266666666666666,11.327272727272726
94,100,19,3800.0,1000.0,1,469200.0,52000.0,3.8,9.023076923076923,8.7,11.266666666666666,11.327272727272726
95,100,28,5600.0,1000.0,1,474800.0,53000.0,5.6,8.958490566037735,10.7,12.4,10.639999999999999
96,100,50,0.0,0.0,0,474800.0,53000.0,,8.958490566037735,9.533333333333331,12.199999999999998,10.977777777777778
97,100,96,19200.0,1000.0,1,494000.0,54000.0,19.2,9.148148148148149,14.666666666666666,11.742857142857142,11.32
98,100,54,0.0,0.0,0,494000.0,54000.0,,9.148148148148149,19.2,10.571428571428571,10.981818181818182
99,100,96,19200.0,1000.0,1,513200.0,55000.0,19.2,9.33090909090909,15.799999999999999,9.966666666666667,10.866666666666667
100,100,91,0.0,0.0,0,513200.0,55000.0,,9.33090909090909,10.4,11.2,10.866666666666667
